resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,6,0.42,945,2,2,1,2,4483.214824500668
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,1,0.44,757,2,2,1,0,0
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,7,0.46,1472,1,2,0,3,5433.018037714108
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,2,0.48,702,2,2,1,1,766.6986546541448
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,5,0.52,803,2,1,0,2,3666.5140836734354
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,3,0.54,937,2,1,0,2,1483.3952231352014
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,4,0.56,1218,2,1,0,2,2433.4348604240367
11104,1150,55,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,8,0.68,824,1,1,1,3,6916.052035630841
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,5,0.42,617,2,2,1,3,3226.317000000112
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,8,0.44,672,2,2,1,5,5139.955000000555
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,3,0.46,839,2,2,1,1,1633.3930000000692
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,687,2,2,1,4,3845.225000000486
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,600,2,1,0,5,4534.313000000562
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,2,0.54,935,1,1,1,0,695.2630000000645
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,1,0.56,690,2,1,0,0,0
11108,1151,43,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,4,0.68,749,1,1,1,2,2474.6150000000926
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,4,0.42,464,2,2,1,3,1866.6320000047563
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,3,0.44,484,2,2,1,2,1383.2950000069104
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,640,2,2,1,4,4133.140000019921
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,611,1,2,0,4,2899.9000000185333
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,5,1,1,0.52,752,1,1,1,0,0
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,6,1,5,0.54,556,2,1,0,4,2333.2810000138124
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,7,1,7,0.56,618,2,1,0,4,3516.5300000226125
11125,1152,42,male,mturk,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,624,1,1,1,1,749.9700000043958
